Ralph,ABRAHAM,Representative  Ralph ABRAHAM,1954- ,Representative,Republican,LA,114
Alma,ADAMS,Representative  Alma ADAMS,1946- ,Representative,Democrat,NC,114
Robert,ADERHOLT,Representative  Robert ADERHOLT,1965- ,Representative,Republican,AL,114
Peter Rey,AGUILAR,Representative  Peter Rey AGUILAR,1979- ,Representative,Democrat,CA,114
Rick W.,ALLEN,Representative  Rick W. ALLEN,1951- ,Representative,Republican,GA,114
Justin,AMASH,Representative  Justin AMASH,1980- ,Representative,Republican,MI,114
Mark E.,AMODEI,Representative  Mark E. AMODEI,1958- ,Representative,Republican,NV,114
John Bradley,ASHFORD,Representative  John Bradley ASHFORD,1949- ,Representative,Democrat,NE,114
Brian,BABIN,Representative  Brian BABIN,1948- ,Representative,Republican,TX,114
Lou,BARLETTA,Representative  Lou BARLETTA,1956- ,Representative,Republican,PA,114
Garland H. (Andy) IV,BARR,Representative  Garland H. (Andy) IV BARR,1973- ,Representative,Republican,KY,114
Joe Linus,BARTON,Representative  Joe Linus BARTON,1949- ,Representative,Republican,TX,114
Karen,BASS,Representative  Karen BASS,1953- ,Representative,Democrat,CA,114
Joyce,BEATTY,Representative  Joyce BEATTY,1950- ,Representative,Democrat,OH,114
Xavier,BECERRA,Representative  Xavier BECERRA,1958- ,Representative,Democrat,CA,114
Dan,BENISHEK,Representative  Dan BENISHEK,1952- ,Representative,Republican,MI,114
Ami,BERA,Representative  Ami BERA,1965- ,Representative,Democrat,CA,114
Donald Sternoff Jr.,BEYER,Representative  Donald Sternoff Jr. BEYER,1950- ,Representative,Democrat,VA,114
Gus,BILIRAKIS,Representative  Gus BILIRAKIS,1963- ,Representative,Republican,FL,114
Michael Dean,BISHOP,Representative  Michael Dean BISHOP,1967- ,Representative,Republican,MI,114
Robert (Rob),BISHOP,Representative  Robert (Rob) BISHOP,1951- ,Representative,Republican,UT,114
Sanford Dixon,BISHOP Jr.,Representative  Sanford Dixon BISHOP Jr.,1947- ,Representative,Democrat,GA,114
Diane,BLACK,Representative  Diane BLACK,1951- ,Representative,Republican,TN,114
Marsha,BLACKBURN,Representative  Marsha BLACKBURN,1952- ,Representative,Republican,TN,114
Rod,BLUM,Representative  Rod BLUM,1955- ,Representative,Republican,IA,114
Earl,BLUMENAUER,Representative  Earl BLUMENAUER,1948- ,Representative,Democrat,OR,114
John Andrew,BOEHNER,Representative  John Andrew BOEHNER,1949- ,Representative,Republican,OH,114
Suzanne,BONAMICI,Representative  Suzanne BONAMICI,1954- ,Representative,Democrat,OR,114
Mike,BOST,Representative  Mike BOST,1960- ,Representative,Republican,IL,114
Charles W.,BOUSTANY,Representative  Charles W. BOUSTANY,1956- ,Representative,Republican,LA,114
Brendan Francis,BOYLE,Representative  Brendan Francis BOYLE,1977- ,Representative,Democrat,PA,114
Kevin Patrick,BRADY,Representative  Kevin Patrick BRADY,1955- ,Representative,Republican,TX,114
Robert A.,BRADY,Representative  Robert A. BRADY,1945- ,Representative,Democrat,PA,114
David A.,BRAT,Representative  David A. BRAT,1964- ,Representative,Republican,VA,114
Jim,BRIDENSTINE,Representative  Jim BRIDENSTINE,1975- ,Representative,Republican,OK,114
Mo,BROOKS,Representative  Mo BROOKS,1954- ,Representative,Republican,AL,114
Susan,BROOKS,Representative  Susan BROOKS,1960- ,Representative,Republican,IN,114
Corrine,BROWN,Representative  Corrine BROWN,1946- ,Representative,Democrat,FL,114
Julia,BROWNLEY,Representative  Julia BROWNLEY,1952- ,Representative,Democrat,CA,114
Vernon G.,BUCHANAN,Representative  Vernon G. BUCHANAN,1951- ,Representative,Republican,FL,114
Kenneth Robert,BUCK,Representative  Kenneth Robert BUCK,1959- ,Representative,Republican,CO,114
Larry,BUCSHON,Representative  Larry BUCSHON,1962- ,Representative,Republican,IN,114
Michael C.,BURGESS,Representative  Michael C. BURGESS,1950- ,Representative,Republican,TX,114
